卫视频道,#genre#
凤凰中文,http://dns.yiandrive.com:15907/phenix/fhzw
凤凰资讯,http://dns.yiandrive.com:15907/phenix/fhzx
凤凰香港,http://dns.yiandrive.com:15907/phenix/fhhk

凤凰中文高清,http://39.134.182.168/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236260/index.m3u8
凤凰资讯高清,http://39.134.182.168/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236197/index.m3u8

凤凰资讯[1920x1080],http://221.130.100.201:8099/hls.p2p.com/183.207.249.71/ott.mobaibox.com/PLTV/4/224/3221228524/index.m3u8
凤凰中文[1920x1080],http://221.130.100.201:8099/hls.p2p.com/183.207.249.71/ott.mobaibox.com/PLTV/4/224/3221228527/index.m3u8
凤凰香港[1920x1080],http://221.130.100.201:8099/hls.p2p.com/183.207.249.71/ott.mobaibox.com/PLTV/4/224/3221228530/index.m3u8

凤凰中文,http://ali.hlspull.yximgs.com/live/62c7efd7347b247362a8827c9e64dfb6.flv
凤凰资讯,http://ali.hlspull.yximgs.com/live/3ef7eca34beb373d6e20f7ee8dccc1ea.flv
凤凰香港,http://ali.hlspull.yximgs.com/live/21f6ba1dd66f6d7789e4cccb108f6d64.flv

凤凰中文,http://110.185.171.226:96/xhgat/fhzb.php?type=1&id=fhzw&key=a801fa518e219f8f8914ed144f674d75
凤凰资讯,http://110.185.171.226:96/xhgat/fhzb.php?type=1&id=fhzx&key=2bdd00cd7f6b2dd6133a1a68f4f9c1d3
凤凰香港,http://110.185.171.226:96/xhgat/fhzb.php?type=1&id=fhhk&key=d66583bda539a1c76d1eca4a9a7bf87b

凤凰中文,http://211.67.191.23/hls/fhzw/index.m3u8
凤凰资讯,http://211.67.191.23/hls/fhzx/index.m3u8

凤凰中文,http://148.135.93.213:81/phenix.php?id=fhzw
凤凰资讯,http://148.135.93.213:81/phenix.php?id=fhzx
凤凰香港,http://148.135.93.213:81/phenix.php?id=fhhk
