2025年10月15日更新
咪咕视频JS,#genre#
CCTV1综合,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/migufhd.js?id=608807420
CCTV2财经,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/migufhd.js?id=631780532
CCTV3综艺,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/migufhd.js?id=624878271
CCTV4中文国际,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/migufhd.js?id=631780421
CCTV5体育,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/migufhd.js?id=641886683
CCTV5+体育赛事,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/migufhd.js?id=641886773
CCTV6电影,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/migufhd.js?id=624878396
CCTV7国防军事,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/migufhd.js?id=673168121
CCTV8电视剧,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/migufhd.js?id=624878356
CCTV9纪录,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/migufhd.js?id=673168140
CCTV10科教,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/migufhd.js?id=624878405
CCTV11戏曲,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/migufhd.js?id=667987558
CCTV12社会与法,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/migufhd.js?id=673168185
CCTV13新闻,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/migufhd.js?id=608807423
CCTV14少儿,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/migufhd.js?id=624878440
CCTV15音乐,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/migufhd.js?id=673168223
CCTV17农业农村,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/migufhd.js?id=673168256
CCTV4欧洲,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/migufhd.js?id=608807419
CCTV4美洲,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/migufhd.js?id=608807416
CGTN外语纪录,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/migufhd.js?id=609006487
CGTN阿拉伯语,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/migufhd.js?id=609154345
CGTN西班牙语,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/migufhd.js?id=609006450
CGTN法语,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/migufhd.js?id=609006476
CGTN俄语,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/migufhd.js?id=609006446
老故事,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/migufhd.js?id=884121956
中学生,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/migufhd.js?id=708869532
CGTN,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/migufhd.js?id=609017205

东方卫视,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/migufhd.js?id=651632648
江苏卫视,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/migufhd.js?id=623899368
广东卫视,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/migufhd.js?id=608831231
江西卫视,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/migufhd.js?id=783847495
河南卫视,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/migufhd.js?id=790187291
陕西卫视,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/migufhd.js?id=738910838
大湾区卫视,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/migufhd.js?id=608917627
湖北卫视,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/migufhd.js?id=947472496
吉林卫视,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/migufhd.js?id=947472500
青海卫视,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/migufhd.js?id=947472506
东南卫视,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/migufhd.js?id=849116810
海南卫视,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/migufhd.js?id=947472502
海峡卫视,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/migufhd.js?id=849119120
中国农林卫视,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/migufhd.js?id=956904896
