酷9本地快直播js源,#genre#
CCTV1综合,http://A/ku9/js/kzbtv.js?id=484
CCTV2财经,http://A/ku9/js/kzbtv.js?id=485
CCTV3综艺,http://A/ku9/js/kzbtv.js?id=486
CCTV4中文国际,http://A/ku9/js/kzbtv.js?id=487
CCTV4美洲,http://A/ku9/js/kzbtv.js?id=501
CCTV4欧洲,http://A/ku9/js/kzbtv.js?id=502
CCTV5体育,http://A/ku9/js/kzbtv.js?id=488
CCTV5+体育赛事,http://A/ku9/js/kzbtv.js?id=489
CCTV6电影,http://A/ku9/js/kzbtv.js?id=490
CCTV7国防军事,http://A/ku9/js/kzbtv.js?id=491
CCTV8电视剧,http://A/ku9/js/kzbtv.js?id=492
CCTV9纪录,http://A/ku9/js/kzbtv.js?id=493
CCTV10科教,http://A/ku9/js/kzbtv.js?id=494
CCTV11戏曲,http://A/ku9/js/kzbtv.js?id=495
CCTV12社会与法,http://A/ku9/js/kzbtv.js?id=496
CCTV13新闻,http://A/ku9/js/kzbtv.js?id=497
CCTV14少儿,http://A/ku9/js/kzbtv.js?id=498
CCTV15音乐,http://A/ku9/js/kzbtv.js?id=499
CCTV17农业农村,http://A/ku9/js/kzbtv.js?id=500

北京卫视,http://A/ku9/js/kzbtv.js?id=514
东方卫视,http://A/ku9/js/kzbtv.js?id=503
天津卫视,http://A/ku9/js/kzbtv.js?id=517
重庆卫视,http://A/ku9/js/kzbtv.js?id=513
黑龙江卫视,http://A/ku9/js/kzbtv.js?id=527
吉林卫视,http://A/ku9/js/kzbtv.js?id=507
辽宁卫视,http://A/ku9/js/kzbtv.js?id=526
甘肃卫视,http://A/ku9/js/kzbtv.js?id=528
青海卫视,http://A/ku9/js/kzbtv.js?id=511
陕西卫视,http://A/ku9/js/kzbtv.js?id=509
河北卫视,http://A/ku9/js/kzbtv.js?id=521
山东卫视,http://A/ku9/js/kzbtv.js?id=519
安徽卫视,http://A/ku9/js/kzbtv.js?id=518
河南卫视,http://A/ku9/js/kzbtv.js?id=522
湖北卫视,http://A/ku9/js/kzbtv.js?id=510
湖南卫视,http://A/ku9/js/kzbtv.js?id=515
江西卫视,http://A/ku9/js/kzbtv.js?id=508
江苏卫视,http://A/ku9/js/kzbtv.js?id=505
浙江卫视,http://A/ku9/js/kzbtv.js?id=523
东南卫视,http://A/ku9/js/kzbtv.js?id=524
广东卫视,http://A/ku9/js/kzbtv.js?id=504
深圳卫视,http://A/ku9/js/kzbtv.js?id=512
广西卫视,http://A/ku9/js/kzbtv.js?id=520
贵州卫视,http://A/ku9/js/kzbtv.js?id=525
四川卫视,http://A/ku9/js/kzbtv.js?id=516
新疆卫视,http://A/ku9/js/kzbtv.js?id=529
兵团卫视,http://A/ku9/js/kzbtv.js?id=530
海南卫视,http://A/ku9/js/kzbtv.js?id=506

酷9网络快直播js源,#genre#
CCTV1综合,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/kzbtv.js?id=484
CCTV2财经,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/kzbtv.js?id=485
CCTV3综艺,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/kzbtv.js?id=486
CCTV4中文国际,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/kzbtv.js?id=487
CCTV4美洲,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/kzbtv.js?id=501
CCTV4欧洲,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/kzbtv.js?id=502
CCTV5体育,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/kzbtv.js?id=488
CCTV5+体育赛事,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/kzbtv.js?id=489
CCTV6电影,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/kzbtv.js?id=490
CCTV7国防军事,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/kzbtv.js?id=491
CCTV8电视剧,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/kzbtv.js?id=492
CCTV9纪录,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/kzbtv.js?id=493
CCTV10科教,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/kzbtv.js?id=494
CCTV11戏曲,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/kzbtv.js?id=495
CCTV12社会与法,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/kzbtv.js?id=496
CCTV13新闻,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/kzbtv.js?id=497
CCTV14少儿,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/kzbtv.js?id=498
CCTV15音乐,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/kzbtv.js?id=499
CCTV17农业农村,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/kzbtv.js?id=500

北京卫视,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/kzbtv.js?id=514
东方卫视,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/kzbtv.js?id=503
天津卫视,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/kzbtv.js?id=517
重庆卫视,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/kzbtv.js?id=513
黑龙江卫视,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/kzbtv.js?id=527
吉林卫视,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/kzbtv.js?id=507
辽宁卫视,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/kzbtv.js?id=526
甘肃卫视,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/kzbtv.js?id=528
青海卫视,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/kzbtv.js?id=511
陕西卫视,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/kzbtv.js?id=509
河北卫视,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/kzbtv.js?id=521
山东卫视,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/kzbtv.js?id=519
安徽卫视,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/kzbtv.js?id=518
河南卫视,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/kzbtv.js?id=522
湖北卫视,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/kzbtv.js?id=510
湖南卫视,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/kzbtv.js?id=515
江西卫视,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/kzbtv.js?id=508
江苏卫视,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/kzbtv.js?id=505
浙江卫视,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/kzbtv.js?id=523
东南卫视,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/kzbtv.js?id=524
广东卫视,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/kzbtv.js?id=504
深圳卫视,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/kzbtv.js?id=512
广西卫视,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/kzbtv.js?id=520
贵州卫视,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/kzbtv.js?id=525
四川卫视,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/kzbtv.js?id=516
新疆卫视,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/kzbtv.js?id=529
兵团卫视,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/kzbtv.js?id=530
海南卫视,https://gitee.com/smalltown240730/240730/raw/master/ku9js/k-web/ku9/js/kzbtv.js?id=506
