酷9本地移动js源,#genre#
CCTV1,http://A/PLTV/ku9/js/yditv.js?cid=bestzb&key=5000000001000004953$4M FHD
CCTV1,http://A/PLTV/ku9/js/yditv.js?cid=bestzb&key=5000000004000002226$8M FHD
CCTV1,http://A/PLTV/ku9/js/yditv.js?cid=bestzb&key=5000000010000030810$4M FHD
CCTV1,http://A/PLTV/ku9/js/yditv.js?cid=bestzb&key=5000000011000265001$4M FHD HEVC
CCTV1,http://A/PLTV/ku9/js/yditv.js?cid=hnbblive&key=2000000002000000052$4M FHD
CCTV1,http://A/PLTV/ku9/js/yditv.js?cid=hnbblive&key=5510876839019192947$2M SD
CCTV1,http://A/PLTV/ku9/js/yditv.js?cid=hnbblive&key=9198071806334826260$2M SD
CCTV1,http://A/PLTV/ku9/js/yditv.js?cid=wasusyt&key=5068253659616166748$2M HD
CCTV1,http://A/PLTV/ku9/js/yditv.js?cid=wasusyt&key=6000000001000029752$8M FHD
CCTV1,http://A/PLTV/ku9/js/yditv.js?cid=ystenlive&key=1000000001000018602$8M FHD
CCTV1,http://A/PLTV/ku9/js/yditv.js?cid=ystenlive&key=1000000001000021973$4M FHD
CCTV1,http://A/PLTV/ku9/js/yditv.js?cid=ystenlive&key=1000000005000265001$6M FHD HEVC
CCTV1,http://A/PLTV/ku9/js/yditv.js?cid=ystenlive&key=reallive-cctv1$2M HD
CCTV1,http://A/PLTV/ku9/js/yditv.js?cid=ystenlive&key=reallive-hdcctv1$2M HD
CCTV2,http://A/PLTV/ku9/js/yditv.js?cid=bestzb&key=5000000005000031113$4M FHD
CCTV2,http://A/PLTV/ku9/js/yditv.js?cid=bestzb&key=5000000011000031101$8M FHD
CCTV2,http://A/PLTV/ku9/js/yditv.js?cid=hnbblive&key=7501364488890008391$2M SD
CCTV2,http://A/PLTV/ku9/js/yditv.js?cid=wasusyt&key=6000000001000014161$8M FHD
CCTV2,http://A/PLTV/ku9/js/yditv.js?cid=wasusyt&key=8878432746825677699$2M HD
CCTV2,http://A/PLTV/ku9/js/yditv.js?cid=ystenlive&key=1000000001000012442$4M FHD
CCTV2,http://A/PLTV/ku9/js/yditv.js?cid=ystenlive&key=1000000001000023315$8M FHD
CCTV2,http://A/PLTV/ku9/js/yditv.js?cid=ystenlive&key=1000000005000265002$6M FHD HEVC
CCTV2,http://A/PLTV/ku9/js/yditv.js?cid=ystenlive&key=5353323539453949720$2M HD
CCTV3,http://A/PLTV/ku9/js/yditv.js?cid=bestzb&key=5000000002000020548$4M FHD
CCTV3,http://A/PLTV/ku9/js/yditv.js?cid=bestzb&key=5000000004000008883$8M FHD
CCTV3,http://A/PLTV/ku9/js/yditv.js?cid=bestzb&key=5000000011000265003$4M FHD HEVC
CCTV3,http://A/PLTV/ku9/js/yditv.js?cid=wasusyt&key=6000000001000022313$8M FHD
CCTV3,http://A/PLTV/ku9/js/yditv.js?cid=ystenlive&key=1000000001000011218$4M FHD
CCTV3,http://A/PLTV/ku9/js/yditv.js?cid=ystenlive&key=1000000001000013682$8M FHD
CCTV3,http://A/PLTV/ku9/js/yditv.js?cid=ystenlive&key=1000000005000265003$6M FHD HEVC
CCTV3,http://A/PLTV/ku9/js/yditv.js?cid=ystenlive&key=8378175926191110263$2M HD
CCTV4,http://A/PLTV/ku9/js/yditv.js?cid=bestzb&key=5000000005000030093$4M FHD
CCTV4,http://A/PLTV/ku9/js/yditv.js?cid=bestzb&key=5000000011000031102$8M FHD
CCTV4,http://A/PLTV/ku9/js/yditv.js?cid=bestzb&key=5000000011000265004$4M FHD HEVC
CCTV4,http://A/PLTV/ku9/js/yditv.js?cid=hnbblive&key=8830950643842119430$2M SD
CCTV4,http://A/PLTV/ku9/js/yditv.js?cid=wasusyt&key=4719673858948437836$2M SD
CCTV4,http://A/PLTV/ku9/js/yditv.js?cid=ystenlive&key=1000000002000031664$4M FHD
CCTV4,http://A/PLTV/ku9/js/yditv.js?cid=ystenlive&key=1000000005000265004$6M FHD HEVC
CCTV4,http://A/PLTV/ku9/js/yditv.js?cid=ystenlive&key=8183388942203045169$2M HD
CCTV5,http://A/PLTV/ku9/js/yditv.js?cid=bestzb&key=5000000004000008885$8M FHD
CCTV5,http://A/PLTV/ku9/js/yditv.js?cid=bestzb&key=5000000010000016619$4M FHD
CCTV5,http://A/PLTV/ku9/js/yditv.js?cid=bestzb&key=5000000011000265005$4M FHD HEVC
CCTV5,http://A/PLTV/ku9/js/yditv.js?cid=wasusyt&key=4867251683694877276$2M HD
CCTV5,http://A/PLTV/ku9/js/yditv.js?cid=wasusyt&key=6000000001000016431$8M FHD
CCTV5,http://A/PLTV/ku9/js/yditv.js?cid=wasusyt&key=7680777599813046442$2M HD
CCTV5,http://A/PLTV/ku9/js/yditv.js?cid=ystenlive&key=1000000001000004794$4M FHD
CCTV5,http://A/PLTV/ku9/js/yditv.js?cid=ystenlive&key=1000000003000030177$8M FHD
CCTV5,http://A/PLTV/ku9/js/yditv.js?cid=ystenlive&key=1000000005000025222$12M FHD
