酷9本地js源,#genre#
凤凰中文,http://A/ku9/js/fengh.js?id=fhzw
凤凰资讯,http://A/ku9/js/fengh.js?id=fhzx
凤凰香港,http://A/ku9/js/fengh.js?id=fhhk
CCTV-1,http://A/ku9/js/ku9js.js?id=https://tv.cctv.com/live/cctv1/
CCTV-2,http://A/ku9/js/ku9js.js?id=https://tv.cctv.com/live/cctv2/
CCTV-3,http://A/ku9/js/ku9js.js?id=https://tv.cctv.com/live/cctv3/
CCTV-4,http://A/ku9/js/ku9js.js?id=https://tv.cctv.com/live/cctv4/
CCTV-4欧洲,http://A/ku9/js/ku9js.js?id=https://tv.cctv.com/live/cctveurope/
CCTV-4美洲,http://A/ku9/js/ku9js.js?id=https://tv.cctv.com/live/cctvamerica/
CCTV-5,http://A/ku9/js/ku9js.js?id=https://tv.cctv.com/live/cctv5/
CCTV-5+,http://A/ku9/js/ku9js.js?id=https://tv.cctv.com/live/cctv5plus/
CCTV-6,http://A/ku9/js/ku9js.js?id=https://tv.cctv.com/live/cctv6/
CCTV-7,http://A/ku9/js/ku9js.js?id=https://tv.cctv.com/live/cctv7/
CCTV-8,http://A/ku9/js/ku9js.js?id=https://tv.cctv.com/live/cctv8/
CCTV-9,http://A/ku9/js/ku9js.js?id=https://tv.cctv.com/live/cctvjilu/
CCTV-10,http://A/ku9/js/ku9js.js?id=https://tv.cctv.com/live/cctv10/
CCTV-11,http://A/ku9/js/ku9js.js?id=https://tv.cctv.com/live/cctv11/
CCTV-12,http://A/ku9/js/ku9js.js?id=https://tv.cctv.com/live/cctv12/
CCTV-13,http://A/ku9/js/ku9js.js?id=https://tv.cctv.com/live/cctv13/
CCTV-14,http://A/ku9/js/ku9js.js?id=https://tv.cctv.com/live/cctvchild/
CCTV-15,http://A/ku9/js/ku9js.js?id=https://tv.cctv.com/live/cctv15/
CCTV-16,http://A/ku9/js/ku9js.js?id=https://tv.cctv.com/live/cctv16/
CCTV-17,http://A/ku9/js/ku9js.js?id=https://tv.cctv.com/live/cctv17/
CCTV-1,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600001859
CCTV-2,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600001800
CCTV-4,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600001814
CCTV-5,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600001818
CCTV-5+,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600001817
CCTV-6,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600108442
CCTV-7,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600004092
CCTV-8,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600001803
CCTV-9,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600004078
CCTV-10,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600001805
CCTV-11,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600001806
CCTV-12,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600001807
CCTV-13,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600001811
CCTV-14,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600001809
CCTV-15,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600001815
CCTV-16,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600098637
CCTV-17,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600001810
CCTV-4K,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600002264
CCTV-8K,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600156816
中国教育-1,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600171827
CCTV风云剧场,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600099658
CCTV第一剧场,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600099655
CCTV怀旧剧场,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600099620
CGTN,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600014550
CGTN法语,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600084704
CGTN俄语,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600084758
CGTN阿语,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600084782
CGTN西语,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600084744
CGTN记录,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600084781

北京卫视,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600002309
北京卫视4K,http://A/ku9/js/ku9js.js?id=https://www.brtn.cn/btv/btvsy_index
北京卫视4K,http://A/ku9/js/ku9js.js?id=https://www.btime.com/btv/btvsy_index
江苏卫视,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600002521
东方卫视,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600002483
浙江卫视,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600002520
湖南卫视,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600002475
湖北卫视,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600002508
广东卫视,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600002485
广西卫视,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600002509
黑龙江卫视,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600002498
海南卫视,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600002506
重庆卫视,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600002531
深圳卫视,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600002481
四川卫视,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600002516
河南卫视,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600002525
东南卫视,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600002484
贵州卫视,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600002490
江西卫视,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600002503
辽宁卫视,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600002505
安徽卫视,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600002532
河北卫视,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600002493
山东卫视,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600002513
天津卫视,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600152137
吉林卫视,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600190405
陕西卫视,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600190400
甘肃卫视,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600190408
宁夏卫视,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600190737
内蒙古卫视,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600190401
云南卫视,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600190402
山西卫视,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600190407
青海卫视,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600190406
